=== Training Session Started ===
Device: cuda
Network Architecture: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 8]
Number of Inputs: 8
Learning Rate: 0.1 (initial)
Training samples: 52
Patience: 200
Step 0000 | Loss = 50.088673 | LR = 0.100000 | Correct: 0/52 | New best loss! (patience reset)
Step 0001 | Loss = 48.436398 | LR = 0.100000 | Correct: 0/52 | New best loss! (patience reset)
Step 0002 | Loss = 47.748554 | LR = 0.100000 | Correct: 1/52 | New best loss! (patience reset)
Step 0003 | Loss = 47.464783 | LR = 0.100000 | Correct: 2/52 | New best loss! (patience reset)
Step 0004 | Loss = 46.581451 | LR = 0.100000 | Correct: 1/52 | New best loss! (patience reset)
Step 0005 | Loss = 45.730442 | LR = 0.100000 | Correct: 6/52 | New best loss! (patience reset)
Step 0006 | Loss = 45.034302 | LR = 0.100000 | Correct: 5/52 | New best loss! (patience reset)
Step 0008 | Loss = 44.037117 | LR = 0.100000 | Correct: 3/52 | New best loss! (patience reset)
Step 0010 | Loss = 45.366470 | LR = 0.100000 | Correct: 3/52 | Patience: 2/200
Step 0020 | Loss = 48.301384 | LR = 0.100000 | Correct: 5/52 | Patience: 12/200
Step 0030 | Loss = 49.223892 | LR = 0.100000 | Correct: 8/52 | Patience: 22/200
Step 0040 | Loss = 47.139698 | LR = 0.100000 | Correct: 13/52 | Patience: 32/200
Step 0047 | Loss = 43.683327 | LR = 0.100000 | Correct: 17/52 | New best loss! (patience reset)
Step 0050 | Loss = 43.672962 | LR = 0.100000 | Correct: 14/52 | New best loss! (patience reset)
Step 0053 | Loss = 43.356186 | LR = 0.100000 | Correct: 18/52 | New best loss! (patience reset)
Step 0059 | Loss = 42.713997 | LR = 0.100000 | Correct: 18/52 | New best loss! (patience reset)
Step 0060 | Loss = 45.213104 | LR = 0.100000 | Correct: 21/52 | Patience: 1/200
Step 0061 | Loss = 42.574078 | LR = 0.100000 | Correct: 21/52 | New best loss! (patience reset)
Step 0062 | Loss = 41.598003 | LR = 0.100000 | Correct: 21/52 | New best loss! (patience reset)
Step 0064 | Loss = 40.614491 | LR = 0.100000 | Correct: 21/52 | New best loss! (patience reset)
Step 0065 | Loss = 39.629833 | LR = 0.100000 | Correct: 18/52 | New best loss! (patience reset)
Step 0066 | Loss = 39.460205 | LR = 0.100000 | Correct: 14/52 | New best loss! (patience reset)
Step 0070 | Loss = 39.941860 | LR = 0.100000 | Correct: 22/52 | Patience: 4/200
Step 0071 | Loss = 37.982906 | LR = 0.100000 | Correct: 22/52 | New best loss! (patience reset)
Step 0074 | Loss = 37.824322 | LR = 0.100000 | Correct: 21/52 | New best loss! (patience reset)
Step 0075 | Loss = 37.600487 | LR = 0.100000 | Correct: 21/52 | New best loss! (patience reset)
Step 0076 | Loss = 37.192959 | LR = 0.100000 | Correct: 24/52 | New best loss! (patience reset)
Step 0077 | Loss = 37.133385 | LR = 0.100000 | Correct: 24/52 | New best loss! (patience reset)
Step 0078 | Loss = 36.518875 | LR = 0.100000 | Correct: 24/52 | New best loss! (patience reset)
Step 0079 | Loss = 36.114147 | LR = 0.100000 | Correct: 23/52 | New best loss! (patience reset)
Step 0080 | Loss = 35.869350 | LR = 0.100000 | Correct: 24/52 | New best loss! (patience reset)
Step 0085 | Loss = 34.413696 | LR = 0.100000 | Correct: 27/52 | New best loss! (patience reset)
Step 0087 | Loss = 34.084766 | LR = 0.100000 | Correct: 27/52 | New best loss! (patience reset)
Step 0088 | Loss = 33.873646 | LR = 0.100000 | Correct: 26/52 | New best loss! (patience reset)
Step 0090 | Loss = 33.463898 | LR = 0.100000 | Correct: 26/52 | New best loss! (patience reset)
Step 0092 | Loss = 32.969452 | LR = 0.100000 | Correct: 26/52 | New best loss! (patience reset)
Step 0093 | Loss = 32.555000 | LR = 0.100000 | Correct: 28/52 | New best loss! (patience reset)
Step 0095 | Loss = 32.290619 | LR = 0.100000 | Correct: 28/52 | New best loss! (patience reset)
Step 0100 | Loss = 32.772045 | LR = 0.100000 | Correct: 27/52 | Patience: 5/200
Step 0101 | Loss = 31.998125 | LR = 0.100000 | Correct: 27/52 | New best loss! (patience reset)
Step 0110 | Loss = 34.546967 | LR = 0.100000 | Correct: 24/52 | Patience: 9/200
Step 0120 | Loss = 34.516777 | LR = 0.100000 | Correct: 25/52 | Patience: 19/200
Step 0130 | Loss = 33.495148 | LR = 0.100000 | Correct: 28/52 | Patience: 29/200
Step 0132 | Loss = 31.911709 | LR = 0.100000 | Correct: 24/52 | New best loss! (patience reset)
